attemps,ishometeam,Corners,Offsides,Ball_Posession,Yellow_cards,Red_cards,Fouls_suffered,passes_attemted,passes_completed,pass_completion_rate,diameter,largest_cliques,countmax_cliques,reciprocity,global_clustering,diversity,hubs,authorities,pagerank_max,pagerank_mean,pagerank_median,assortativity,AverageNeighborhood,degree_centralization,betweenness_centralization,closeness_centralization,label
7,1,4,1,0.51,3,0,14,395,314,0.79,5,7,9,0.7878787878787878,0.7173295454545454,1.7628461151770658,0.1007207803787538,0.11470463297195585,0.1374883722928128,0.07142857142857142,0.07327863849512814,-0.282338737185529,8.435899814471243,15.23076923076923,0.46153846153846145,9.335919514258794,1
11,0,5,0,0.49,4,0,16,439,344,0.78,6,9,1,0.693069306930693,0.6102564102564103,1.589026915173973,0.08806961656513317,0.0965887053342918,0.12873750003899204,0.06666666666666665,0.06866977335255908,-0.1653034826953879,7.332679172679173,14.428571428571432,0.7637362637362637,9.215704735045065,0
9,1,1,1,0.4,7,1,10,274,199,0.73,4,8,3,0.7415730337078652,0.6600660066006601,1.7670091910745693,0.08795890451571756,0.10337201941012392,0.12174093665800742,0.0769230769230769,0.08122913159938641,-0.16410313677684865,7.545421245421247,14.833333333333334,0.5606060606060606,9.006183104820876,0
10,0,11,1,0.6,3,0,14,587,516,0.88,4,9,1,0.8,0.6777251184834123,1.9646228081748136,0.08239883279591409,0.0855632614302326,0.11908991540409283,0.0625,0.06033506323591824,-0.24307564663517303,9.164420995670996,18.0,0.45238095238095233,10.79628068881405,0
11,1,7,0,0.62,1,0,5,822,743,0.9,7,8,4,0.8617886178861789,0.7377690802348337,1.823959598491889,0.09934183840497103,0.11666301482481199,0.1382426316724098,0.07142857142857142,0.07482412692088553,-0.19937583558196295,9.289687693259124,18.92307692307692,0.37820512820512825,10.80229906607952,1
6,0,4,1,0.38,1,0,8,419,365,0.87,5,8,3,0.7130434782608696,0.6383720930232558,1.8128839989506103,0.09087419210877379,0.10125396172970254,0.12604916341195377,0.0625,0.061406917496883665,-0.12236430368760311,8.346611201298701,15.333333333333332,0.6380952380952379,10.537213672627292,0
9,1,3,0,0.41,2,0,11,411,353,0.86,6,7,6,0.7796610169491526,0.620137299771167,1.882732625313426,0.09219241725088004,0.10637994415772095,0.12658294229521874,0.06666666666666667,0.05851515259559902,-0.13387842911381798,8.375769230769231,16.857142857142858,0.5054945054945055,10.594351986686082,0
16,0,3,4,0.59,1,0,13,637,574,0.9,5,10,2,0.8,0.6841155234657039,1.863319530405836,0.0886257169284966,0.08448734892400707,0.14117043770847038,0.06250000000000001,0.0665268854959478,-0.2351540607795104,9.433583603896105,17.333333333333332,0.5285714285714285,11.216410248603342,1
12,1,4,1,0.41,4,0,13,380,326,0.86,6,7,3,0.7563025210084033,0.599128540305011,1.770612329505103,0.08367478223809516,0.09747329056714388,0.12459916843030758,0.06249999999999999,0.06243205639289198,-0.22483535218636927,8.465219155844155,15.866666666666665,0.6285714285714286,10.57182359815369,1
8,0,5,5,0.59,5,1,12,541,481,0.89,6,9,4,0.7971014492753623,0.6988255033557047,1.988027638675229,0.08437750503027217,0.098323233122732,0.11524779994440679,0.062499999999999986,0.0609157156354688,-0.11056237690099567,9.59476409007659,18.4,0.49047619047619057,11.408128749444586,0
